Designator,Mid X,Mid Y,Rotation,Layer
D1,107.453816,-41.374184,90.0,top
D10,165.496736,-52.387456,90.0,top
D100,101.798352,-128.885048,0.0,top
D101,120.848336,-128.885048,0.0,top
D102,139.89832,-128.885048,0.0,top
D103,158.948304,-128.885048,0.0,top
D104,177.998288,-128.885048,0.0,top
D105,197.048272,-128.885048,0.0,top
D106,216.098256,-128.885048,0.0,top
D107,235.14824,-128.885048,0.0,top
D108,254.198224,-128.885048,0.0,top
D109,44.6481,-147.935032,0.0,top
D11,184.844376,-52.387456,90.0,top
D110,63.697956,-147.935032,0.0,top
D111,82.747812,-147.935032,0.0,top
D112,101.797668,-147.935032,0.0,top
D113,120.847524,-147.935032,0.0,top
D114,149.422308,-147.935032,0.0,top
D115,177.997092,-147.935032,0.0,top
D116,197.046948,-147.935032,0.0,top
D117,216.096804,-147.935032,0.0,top
D118,235.14666,-147.935032,0.0,top
D119,254.196516,-147.935032,0.0,top
D12,204.192016,-52.387456,90.0,top
D120,158.948304,-147.935898,0.0,top
D121,139.89832,-147.935032,0.0,top
D13,103.583628,-40.18356,90.0,top
D14,122.931928,-40.18356,90.0,top
D15,142.279568,-40.18356,90.0,top
D16,161.627208,-40.18356,90.0,top
D17,180.974848,-40.18356,90.0,top
D18,200.322488,-40.18356,90.0,top
D19,103.584288,-51.196832,90.0,top
D2,126.801456,-41.374184,90.0,top
D20,122.931928,-51.196832,90.0,top
D21,142.279568,-51.196832,90.0,top
D22,161.627208,-51.196832,90.0,top
D23,180.974848,-51.196832,90.0,top
D24,200.322488,-51.196832,90.0,top
D25,99.71476,-38.992936,90.0,top
D26,119.0624,-38.992936,90.0,top
D27,138.41004,-38.992936,90.0,top
D28,157.75768,-38.992936,90.0,top
D29,177.10532,-38.992936,90.0,top
D3,146.149096,-41.374184,90.0,top
D30,196.45296,-38.992936,90.0,top
D31,99.71476,-50.006208,90.0,top
D32,119.0624,-50.006208,90.0,top
D33,138.41004,-50.006208,90.0,top
D34,157.75768,-50.006208,90.0,top
D35,177.10532,-50.006208,90.0,top
D36,196.45296,-50.006208,90.0,top
D37,95.845232,-37.802312,90.0,top
D38,115.192872,-37.802312,90.0,top
D39,134.540512,-37.802312,90.0,top
D4,165.496736,-41.374184,90.0,top
D40,153.888152,-37.802312,90.0,top
D41,173.235792,-37.802312,90.0,top
D42,192.583432,-37.802312,90.0,top
D43,95.845232,-48.815584,90.0,top
D44,115.192872,-48.815584,90.0,top
D45,134.540512,-48.815584,90.0,top
D46,153.888152,-48.815584,90.0,top
D47,173.235792,-48.815584,90.0,top
D48,192.583432,-48.815584,90.0,top
D49,91.975704,-36.611688,90.0,top
D5,184.844376,-41.374184,90.0,top
D50,111.323344,-36.611688,90.0,top
D51,130.670984,-36.611688,90.0,top
D52,150.018624,-36.611688,90.0,top
D53,169.366264,-36.611688,90.0,top
D54,188.713904,-36.611688,90.0,top
D55,91.975704,-47.62496,90.0,top
D56,111.323344,-47.62496,90.0,top
D57,130.670984,-47.62496,90.0,top
D58,150.018624,-47.62496,90.0,top
D59,169.366264,-47.62496,90.0,top
D6,204.192016,-41.374184,90.0,top
D60,188.713904,-47.62496,90.0,top
D61,44.6481,-71.734614,0.0,top
D62,63.697956,-71.734614,0.0,top
D63,82.747812,-71.734614,0.0,top
D64,101.797668,-71.734614,0.0,top
D65,120.847524,-71.734614,0.0,top
D66,139.89738,-71.734614,0.0,top
D67,158.947236,-71.734614,0.0,top
D68,177.997092,-71.734614,0.0,top
D69,197.046948,-71.734614,0.0,top
D7,107.453816,-52.387456,90.0,top
D70,216.096804,-71.734614,0.0,top
D71,235.14666,-71.734614,0.0,top
D72,254.196516,-71.734614,0.0,top
D73,44.6481,-90.78447,0.0,top
D74,63.697956,-90.78447,0.0,top
D75,82.747812,-90.78447,0.0,top
D76,101.797668,-90.78447,0.0,top
D77,120.847524,-90.78447,0.0,top
D78,139.89738,-90.78447,0.0,top
D79,158.947236,-90.78447,0.0,top
D8,126.801456,-52.387456,90.0,top
D80,177.997092,-90.78447,0.0,top
D81,197.046948,-90.78447,0.0,top
D82,216.096804,-90.78447,0.0,top
D83,235.14666,-90.78447,0.0,top
D84,254.196516,-90.78447,0.0,top
D85,44.6481,-109.834326,0.0,top
D86,63.697956,-109.834326,0.0,top
D87,82.747812,-109.834326,0.0,top
D88,101.797668,-109.834326,0.0,top
D89,120.847524,-109.834326,0.0,top
D9,146.149096,-52.387456,90.0,top
D90,139.89738,-109.834326,0.0,top
D91,158.947236,-109.834326,0.0,top
D92,177.997092,-109.834326,0.0,top
D93,197.046948,-109.834326,0.0,top
D94,216.096804,-109.834326,0.0,top
D95,235.14666,-109.834326,0.0,top
D96,254.196516,-109.834326,0.0,top
D97,44.6484,-128.885048,0.0,top
D98,63.698384,-128.885048,0.0,top
D99,82.748368,-128.885048,0.0,top
J1,79.687032,-29.7654,270.0,top
J2,242.885664,-41.042271,180.0,bottom
K1,44.6481,-71.734614,0.0,top
K10,216.096804,-71.734614,0.0,top
K11,235.14666,-71.734614,0.0,top
K12,254.196516,-71.734614,0.0,top
K13,44.6481,-90.78447,0.0,top
K14,63.697956,-90.78447,0.0,top
K15,82.747812,-90.78447,0.0,top
K16,101.797668,-90.78447,0.0,top
K17,120.847524,-90.78447,0.0,top
K18,139.89738,-90.78447,0.0,top
K19,158.947236,-90.78447,0.0,top
K2,63.697956,-71.734614,0.0,top
K20,177.997092,-90.78447,0.0,top
K21,197.046948,-90.78447,0.0,top
K22,216.096804,-90.78447,0.0,top
K23,235.14666,-90.78447,0.0,top
K24,254.196516,-90.78447,0.0,top
K25,44.6481,-109.834326,0.0,top
K26,63.697956,-109.834326,0.0,top
K27,82.747812,-109.834326,0.0,top
K28,101.797668,-109.834326,0.0,top
K29,120.847524,-109.834326,0.0,top
K3,82.747812,-71.734614,0.0,top
K30,139.89738,-109.834326,0.0,top
K31,158.947236,-109.834326,0.0,top
K32,177.997092,-109.834326,0.0,top
K33,197.046948,-109.834326,0.0,top
K34,216.096804,-109.834326,0.0,top
K35,235.14666,-109.834326,0.0,top
K36,254.196516,-109.834326,0.0,top
K37,44.6484,-128.885048,0.0,top
K38,63.698384,-128.885048,0.0,top
K39,82.748368,-128.885048,0.0,top
K4,101.797668,-71.734614,0.0,top
K40,101.798352,-128.885048,0.0,top
K41,120.848336,-128.885048,0.0,top
K42,139.89832,-128.885048,0.0,top
K43,158.948304,-128.885048,0.0,top
K44,177.998288,-128.885048,0.0,top
K45,197.048272,-128.885048,0.0,top
K46,216.098256,-128.885048,0.0,top
K47,235.14824,-128.885048,0.0,top
K48,254.198224,-128.885048,0.0,top
K49,44.6481,-147.935032,0.0,top
K5,120.847524,-71.734614,0.0,top
K50,63.697956,-147.935032,0.0,top
K51,82.747812,-147.935032,0.0,top
K52,101.797668,-147.935032,0.0,top
K53,120.847524,-147.935032,0.0,top
K54,139.89832,-147.935032,0.0,top
K55,158.948304,-147.935898,0.0,top
K56,177.997092,-147.935032,0.0,top
K57,197.046948,-147.935032,0.0,top
K58,216.096804,-147.935032,0.0,top
K59,235.14666,-147.935032,0.0,top
K6,139.89738,-71.734614,0.0,top
K60,254.196516,-147.935032,0.0,top
K61,149.422308,-147.935032,0.0,top
K7,158.947236,-71.734614,0.0,top
K8,177.997092,-71.734614,0.0,top
K9,197.046948,-71.734614,0.0,top
SW1,254.196516,-44.661773,90.0,top
U1,61.912032,-44.499273,90.0,top
