Designator,Mid X,Mid Y,Rotation,Layer
C1,96.09,-84.6,180,bottom
C10,96.53,-88.32,180,bottom
C11,96.53,-89.24,180,bottom
C12,90.7725,-81.47,0,bottom
C13,81.93687,-82.76,90,bottom
C14,87.89,-82.76,90,bottom
C15,11.41,-1.36,0,bottom
C2,108.47,-87.23,0,bottom
C3,96.09,-85.52,180,bottom
C4,98.937271,-80.962568,180,bottom
C5,104.74,-91.7,0,bottom
C6,103.81,-80.25,90,bottom
C7,108.47,-86.31,0,bottom
C8,98.41,-91.2,270,bottom
C9,99.33,-91.2,270,bottom
D1,4.553368,-18.15711,180,bottom
D10,173.831396,-16.073451,90,bottom
D11,205.978298,-16.073451,90,bottom
D12,211.931428,-16.073451,90,bottom
D13,244.07833,-16.073451,90,bottom
D14,264.318972,-16.073451,90,bottom
D15,283.368988,-16.073451,90,bottom
D16,7.143756,-35.123467,90,bottom
D17,30.956276,-35.123467,90,bottom
D18,50.006292,-35.123467,90,bottom
D19,69.056308,-35.123467,90,bottom
D2,35.71878,-16.073451,90,bottom
D20,88.106324,-35.123467,90,bottom
D21,107.15634,-35.123467,90,bottom
D22,126.206356,-35.123467,90,bottom
D23,145.256372,-35.123467,90,bottom
D24,164.306388,-35.123467,90,bottom
D25,183.356404,-35.123467,90,bottom
D26,202.40642,-35.123467,90,bottom
D27,221.456436,-35.123467,90,bottom
D28,240.506452,-35.123467,90,bottom
D29,264.318972,-35.123467,90,bottom
D3,40.481284,-16.073451,90,bottom
D30,8.334382,-52.387544,90,bottom
D31,35.71878,-54.173483,90,bottom
D32,54.768796,-54.173483,90,bottom
D33,73.818812,-54.173483,90,bottom
D34,92.868828,-54.173483,90,bottom
D35,111.918844,-54.173483,90,bottom
D36,130.96886,-52.3875,90,bottom
D37,150.018876,-52.3875,90,bottom
D38,169.068892,-54.173483,90,bottom
D39,188.118908,-54.173483,90,bottom
D4,59.5313,-16.073451,90,bottom
D40,207.168924,-54.173483,90,bottom
D41,226.21894,-54.173483,90,bottom
D42,257.175216,-54.173483,90,bottom
D43,27.384398,-73.223499,90,bottom
D44,45.243788,-73.223499,90,bottom
D45,64.293804,-73.223499,90,bottom
D46,96.440706,-73.223499,90,bottom
D47,102.393836,-73.223499,90,bottom
D48,134.540738,-73.223499,90,bottom
D49,140.493868,-73.223499,90,bottom
D5,78.581316,-16.073451,90,bottom
D50,172.64077,-73.223499,90,bottom
D51,178.5939,-73.223499,90,bottom
D52,210.740802,-73.223499,90,bottom
D53,216.693932,-73.223499,90,bottom
D54,257.175216,-73.223499,90,bottom
D55,282.773675,-73.223499,90,bottom
D56,5.95313,-90.487576,90,bottom
D57,29.76565,-90.487576,90,bottom
D58,53.578125,-90.4875,90,bottom
D59,129.778234,-90.487576,90,bottom
D6,97.631332,-16.073451,90,bottom
D60,197.643916,-90.487576,90,bottom
D61,217.884558,-90.487576,90,bottom
D62,241.697078,-90.487576,90,bottom
D63,265.509598,-90.487576,90,bottom
D64,15.478138,-19.050016,180,bottom
D65,51.877276,-19.050016,180,bottom
D66,88.276413,-19.050016,180,bottom
D67,124.675551,-19.050016,180,bottom
D68,161.074689,-19.050016,180,bottom
D69,197.473827,-19.050016,180,bottom
D7,116.681348,-16.073451,90,bottom
D70,233.872964,-19.050016,180,bottom
D71,270.272102,-19.050016,180,bottom
D72,264.914285,-76.200064,0,bottom
D73,15.478138,-76.200064,0,bottom
D74,51.877276,-76.200064,0,bottom
D75,91.082889,-76.200064,0,bottom
D76,124.675551,-76.200064,0,bottom
D77,161.074689,-76.200064,0,bottom
D78,194.667351,-76.200064,0,bottom
D79,233.872964,-76.200064,0,bottom
D8,135.731364,-16.073451,90,bottom
D9,154.78138,-16.073451,90,bottom
F1,19.645329,-11.90626,90,bottom
J3,158.708225,-87.511011,270,bottom
K1,9.525216,-9.525144,180,bottom
K10,180.97392,-9.525144,0,bottom
K11,200.023776,-9.525144,0,bottom
K12,219.073632,-9.525144,0,bottom
K13,238.123488,-9.525144,0,bottom
K14,266.698272,-9.525144,0,bottom
K15,257.175216,-9.525008,180,bottom
K16,276.225232,-9.525008,180,bottom
K17,14.28768,-28.575,0,bottom
K18,38.1,-28.575,0,bottom
K19,57.149856,-28.575,0,bottom
K2,28.575072,-9.525144,180,bottom
K20,76.199712,-28.575,0,bottom
K21,95.249568,-28.575,0,bottom
K22,114.299424,-28.575,0,bottom
K23,133.34928,-28.575,0,bottom
K24,152.399136,-28.575,0,bottom
K25,171.448992,-28.575,0,bottom
K26,190.498848,-28.575,0,bottom
K27,209.548704,-28.575,0,bottom
K28,228.59856,-28.575,0,bottom
K29,247.648416,-28.575,0,bottom
