Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C12, C2, C3, C4, C5, C6, C7, C8, C9",cap_0402_production,10,100n,C77014,
"C10, C11, C15",cap_0402_production,3,1u,C77009,
"C13, C14",cap_0402_production,2,10u,C77000,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",diode_SOD-123_production,61,D,C83528,
"D100, D101, D102, D64, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D75, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",SK6812MINI-E RL_production,25,SK6812MINI-E,C524051,
"D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D116, D118, D120, D121, D122, D148, D149, D151, D153, D155, D62, D63, D76, D77, D78, D79, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89",SK6812MINI-E LR_production,38,SK6812MINI-E,C524051,
"D115, D117, D119, D123, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D150, D152, D154, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165",WS2812b_1010,40,1010,C5349953,
F1,fuse_production,1,Polyfuse_Small,C70076,
K1-K61,MXOnly-1U-Hotswap_no_silk_screen,61,,C5156480,Kailh: CPG151101S11
"R1, R2",resistor_0402_production,2,27,C227342,
R4,resistor_0402_production,1,1k,C375497,
"R7, R8",cap_0402_production,2,5.1k,C138073,
SW1,reset_switch_TL3342_production,1,SW_Push,C2886894,
U2,rp2040_production,1,RP2040,C2040,
U3,rp2040_flash_production,1,W25Q128JVS,C2843335,
U4,emi_production,1,ECMF02-4CMX8,C717678,
U5,voltage_regulator_production,1,XC6206PxxxMR,C347376,
USB1,usb_c_production,1,HRO-TYPE-C-31-M-12,C165948,
Y1,resonator_3_pin_production,1,Resonator,C341520,
