Designator,Mid X,Mid Y,Rotation,Layer
C1,39.89,-60.65,90,bottom
C10,36.53,-62.210104,90,bottom
C11,35.7,-62.830208,90,bottom
C12,43.17,-58.78,0,bottom
C13,44.93,-56.6,180,bottom
C14,47.28,-59.51,180,bottom
C15,17.264048,-14.8828,270,bottom
C2,37.76,-72.7,270,bottom
C3,39.06,-60.65,90,bottom
C4,43.51,-64.79,90,bottom
C5,33.95,-68.655568,180,bottom
C6,45.88,-69.47,315,bottom
C7,38.583,-73.023,270,bottom
C8,33.95,-64.21396,180,bottom
C9,33.95,-65.05,180,bottom
D1,19.1775,-19.34764,180,bottom
D10,173.533448,-13.096864,90,bottom
D100,214.311168,-47.624856,0,bottom
D101,233.361024,-47.624856,0,bottom
D102,264.31704,-47.624856,0,bottom
D103,21.431376,-66.674712,0,bottom
D104,52.387392,-66.674712,0,bottom
D105,71.437248,-66.674712,0,bottom
D106,90.487104,-66.674712,0,bottom
D107,109.53696,-66.674712,0,bottom
D108,128.586816,-66.674712,0,bottom
D109,147.636672,-66.674712,0,bottom
D11,192.583432,-13.096864,90,bottom
D110,166.686528,-66.674712,0,bottom
D111,185.736384,-66.674712,0,bottom
D112,204.78624,-66.674712,0,bottom
D113,223.836096,-66.674712,0,bottom
D114,259.554576,-66.674712,0,bottom
D115,103.18741,-85.724928,90,bottom
D116,130.968048,-85.724568,0,bottom
D117,158.749865,-85.724928,90,bottom
D118,171.449856,-85.724928,0,bottom
D119,195.33,-85.724928,90,bottom
D12,211.633416,-13.096864,90,bottom
D120,11.906448,-85.724568,0,bottom
D121,35.718768,-85.724568,0,bottom
D122,59.531088,-85.724568,0,bottom
D123,38.099968,-9.524992,270,bottom
D125,57.149952,-9.524992,270,bottom
D126,76.199936,-9.524992,270,bottom
D127,95.24992,-9.524992,270,bottom
D128,114.299904,-9.524992,270,bottom
D129,133.349888,-9.524992,270,bottom
D13,230.6834,-13.096864,90,bottom
D130,152.399872,-9.524992,270,bottom
D131,171.449856,-9.524992,270,bottom
D132,190.49984,-9.524992,270,bottom
D133,209.549824,-9.524992,270,bottom
D134,228.599808,-9.524992,270,bottom
D135,252.412288,-9.524992,270,bottom
D136,280.987264,-9.524992,270,bottom
D137,280.987264,-28.574976,180,bottom
D138,280.987264,-47.62496,270,bottom
D139,280.987264,-66.674944,270,bottom
D14,259.258376,-13.096864,90,bottom
D140,4.762496,-7.739056,0,bottom
D141,4.762496,-28.574976,180,bottom
D142,4.762496,-47.62496,270,bottom
D143,4.762496,-66.674944,90,bottom
D144,4.762496,-85.724928,90,bottom
D145,19.049984,-85.724928,180,bottom
D146,42.862464,-85.724928,90,bottom
D147,66.674944,-85.724928,90,bottom
D148,90.487424,-85.724928,0,bottom
D149,202.405008,-85.724568,0,bottom
D15,6.846088,-32.146848,90,bottom
D150,209.775,-85.724928,90,bottom
D151,226.217328,-85.724568,0,bottom
D152,242.887296,-85.724928,90,bottom
D153,250.029648,-85.724568,0,bottom
D154,266.699776,-85.724928,90,bottom
D155,273.841968,-85.724568,0,bottom
D156,281.21,-85.724928,90,bottom
D157,28.574976,-85.724928,90,bottom
D158,52.387456,-85.724928,90,bottom
D159,84.931177,-85.724928,90,bottom
D16,30.658568,-32.146848,90,bottom
D160,121.443648,-85.724928,90,bottom
D161,140.493632,-85.724928,90,bottom
D162,177.006098,-85.724928,90,bottom
D163,219.074816,-85.724928,90,bottom
D164,233.58,-85.724928,90,bottom
D165,257.41,-85.724928,90,bottom
D17,49.708552,-32.146848,90,bottom
D18,68.758536,-32.146848,90,bottom
D19,87.80852,-32.146848,90,bottom
D2,23.56,-17.264048,180,bottom
D20,106.858504,-32.146848,90,bottom
D21,125.908488,-32.146848,90,bottom
D22,144.958472,-32.146848,90,bottom
D23,164.008456,-32.146848,90,bottom
D24,183.05844,-32.146848,90,bottom
D25,202.108424,-32.146848,90,bottom
D26,221.158408,-32.146848,90,bottom
D27,240.208392,-32.146848,90,bottom
D28,264.020872,-32.146848,90,bottom
D29,9.227336,-51.196832,90,bottom
D3,40.18356,-13.096864,90,bottom
D30,35.421064,-51.196832,90,bottom
D31,54.471048,-51.196832,90,bottom
D32,73.521032,-51.196832,90,bottom
D33,92.571016,-51.196832,90,bottom
D34,111.621,-51.196832,90,bottom
D35,130.670984,-51.196832,90,bottom
D36,149.720968,-51.196832,90,bottom
D37,168.770952,-51.196832,90,bottom
D38,187.820936,-51.196832,90,bottom
D39,206.87092,-51.196832,90,bottom
D4,59.233544,-13.096864,90,bottom
D40,225.920904,-51.196832,90,bottom
D41,256.877128,-51.196832,90,bottom
D42,13.989832,-70.246816,90,bottom
D43,59.828856,-70.246816,90,bottom
D44,63.99604,-70.246816,90,bottom
