Designator,Mid X,Mid Y,Rotation,Layer
C1,3.934671,-34.764968,180,bottom
C10,3.934671,-38.589968,180,bottom
C11,3.934671,-39.539968,180,bottom
C12,2.36,-34.76,270,bottom
C13,3.77,-22.93,0,bottom
C14,3.77,-28.39,180,bottom
C15,17.192971,-15.547029,270,bottom
C2,17.12,-38.11,0,bottom
C3,3.939671,-35.714968,180,bottom
C4,6.24,-29.89,180,bottom
C5,11.42,-43.05,225,bottom
C6,12.26,-30.25,135,bottom
C7,17.12,-37.149374,0,bottom
C8,5.528249,-40.968249,225,bottom
C9,6.2,-41.64,225,bottom
D1,26.789085,-2.976565,180,bottom
D10,175.022022,-14.287512,90,bottom
D11,205.978298,-14.287512,90,bottom
D12,225.028314,-14.287512,90,bottom
D13,232.17207,-14.287512,90,bottom
D14,251.222086,-14.287512,90,bottom
D15,283.070856,-19.049984,90,bottom
D16,29.76565,-33.337528,90,bottom
D17,32.146902,-33.337528,90,bottom
D18,63.103178,-33.337528,90,bottom
D19,70.246934,-33.337528,90,bottom
D2,34.528154,-14.287512,90,bottom
D20,89.29695,-33.337528,90,bottom
D21,108.346966,-33.337528,90,bottom
D22,127.396982,-33.337528,90,bottom
D23,146.446998,-33.337528,90,bottom
D24,165.497014,-33.337528,90,bottom
D25,184.54703,-33.337528,90,bottom
D26,203.597046,-33.337528,90,bottom
D27,222.647062,-33.337528,90,bottom
D28,241.697078,-33.337528,90,bottom
D29,265.509598,-33.337528,90,bottom
D3,41.67191,-14.287512,90,bottom
D30,22.621894,-52.387544,90,bottom
D31,36.909406,-52.387544,90,bottom
D32,55.959422,-52.387544,90,bottom
D33,75.009438,-52.387544,90,bottom
D34,94.059454,-52.387544,90,bottom
D35,113.10947,-52.387544,90,bottom
D36,132.159486,-52.387544,90,bottom
D37,151.209502,-52.387544,90,bottom
D38,170.259518,-52.387544,90,bottom
D39,189.309534,-52.387544,90,bottom
D4,60.721926,-14.287512,90,bottom
D40,208.35955,-52.387544,90,bottom
D41,227.409566,-52.387544,90,bottom
D42,246.459582,-52.387544,90,bottom
D43,258.365842,-52.387544,90,bottom
D44,4.72,-71.43756,90,bottom
D45,26.9,-71.43756,90,bottom
D46,58.340674,-71.43756,90,bottom
D47,65.48443,-71.43756,90,bottom
D48,84.534446,-71.43756,90,bottom
D49,103.584462,-71.43756,90,bottom
D5,91.678202,-14.287512,90,bottom
D50,134.540738,-71.43756,90,bottom
D51,153.590754,-71.43756,90,bottom
D52,172.64077,-71.43756,90,bottom
D53,179.784526,-71.43756,90,bottom
D54,198.834542,-71.43756,90,bottom
D55,219.075184,-71.43756,90,bottom
D56,244.673643,-71.43756,90,bottom
D57,282.178362,-71.43756,90,bottom
D58,5.95313,-90.487576,90,bottom
D59,29.76565,-90.487576,90,bottom
D6,98.821958,-14.287512,90,bottom
D60,67.865682,-90.487576,90,bottom
D61,119.0626,-90.487576,90,bottom
D62,204.787672,-90.487576,90,bottom
D63,214.31268,-90.487576,90,bottom
D64,260.151781,-90.487576,90,bottom
D65,262.533033,-90.487576,90,bottom
D66,241.697078,-90.487576,90,bottom
D67,70.246934,-90.487576,90,bottom
D68,166.68736,-90.487424,90,bottom
D69,21.431268,-74.414125,180,bottom
D7,129.778234,-14.287512,90,bottom
D70,47.62504,-74.414125,180,bottom
D71,71.43756,-74.414125,180,bottom
D72,98.226645,-74.414125,180,bottom
D73,119.0626,-74.414125,180,bottom
D74,144.661059,-74.414125,180,bottom
D75,166.68764,-74.414125,180,bottom
D76,188.714221,-74.414125,180,bottom
D77,214.31268,-74.414125,180,bottom
D78,25.598459,-19.050016,90,bottom
D79,68.460995,-19.050016,0,bottom
D8,148.82825,-14.287512,90,bottom
D80,90.487576,-19.050016,0,bottom
D81,114.826661,-19.050016,0,bottom
D82,138.639181,-19.050016,0,bottom
D83,160.070449,-19.050016,0,bottom
D84,185.073595,-19.050016,0,bottom
D85,211.86268,-19.050016,0,bottom
D86,238.720513,-19.050016,0,bottom
D87,266.104911,-19.050016,0,bottom
D88,266.104911,-74.414125,180,bottom
D89,239.979887,-74.414125,180,bottom
D9,167.878266,-14.287512,90,bottom
J4,45.62504,-19.050016,270,bottom
R1,3.934671,-36.689968,0,bottom
R2,3.934671,-37.639968,0,bottom
R3,19.5,-32.4,270,bottom
R4,20.5,-32,90,bottom
R5,5.71,-31.4,90,bottom
SW4,28.575024,-47.62504,180,bottom
U1,11.02687,-35.958748,270,bottom
U2,3.05,-31.989968,270,bottom
U3,19.042987,-15.52048,0,bottom
U4,3.77,-25.66,180,bottom
Y1,19.5,-35.55,0,bottom
