Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C3, C4, C5, C6, C7, C8, C9",cap_0402_production,10,100n,C77014
"C10, C11, C15",cap_0402_production,3,1u,C77009
"C13, C14",cap_0402_production,2,10u,C77075
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",diode_SOD-123_production,68,D,C83528
"D69, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89",ws2812b_5050_production,21,WS2812B,C114586
F1,1206,1,Polyfuse_Small,C70076
"R1, R2",402,2,27,C227342
"R3, R4",402,2,2.2k,C326602
R5,402,1,1k,C375497
"R6, R7",402,2,5.1k,C138073
SW4,reset_switch_TL3342_production,1,SW_Push,C2886897
U1,rp2040_production,1,RP2040,C2040
U2,rp2040_flash_production,1,W25Q128JVS,C2843335
U3,emi_production,1,ECMF02-4CMX8,C717678
U4,SOT-23,1,XC6206PxxxMR,C347376
USB1,usb_c_production,1,HRO-TYPE-C-31-M-12,C165948
Y1,resonator_3_pin_production,1,Resonator,C341520
