Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C10, C11, C14, C15, C2, C3, C6, C8, C9",cap_0402_production,10,100n,C77014,
"C12, C13, C7",cap_0402_production,3,1u,C77009,
"C4, C5",cap_0402_production,2,10u,C77000,
"D1, D10, D13, D14, D17, D18, D19, D2, D21, D22, D24, D25, D27, D28, D3, D30, D31, D32, D33, D36, D37, D4, D40, D41, D44, D45, D46, D47, D48, D5, D6, D9",WS2812b_1010,32,ws2812b_1010,C5349953,
"D11, D12, D15, D16, D20, D23, D26, D29, D7, D8",SK6812MINI-E RL_production,10,SK6812MINI-E,C524051,
"D34, D35, D38, D39, D42, D43",SK6812MINI-E LR_production,6,SK6812MINI-E,C524051,
F1,fuse_0805_production,1,Polyfuse_Small,C2833485,
"K1, K10, K11, K12, K13, K14, K15, K16, K2, K3, K4, K5, K6, K7, K8, K9",MXOnly-1U-Hotswap_no_silk_screen,16,KEYSW,C5156480,Kailh: CPG151101S11
"R1, R2",resistor_0402_production,2,27,C227342,
R3,resistor_0402_production,1,1k,C375497,
"R4, R5",resistor_0402_production,2,5.1k,C138073,
SW1,reset_switch_TL3342_production,1,SW_Push,C2886894,
U1,voltage_regulator_production,1,XC6206PxxxMR,C347376,
U2,emi_production,1,ECMF02-4CMX8,C717678,
U3,rp2040_flash_production,1,W25Q128JVS,C2843335,
U4,rp2040_production,1,RP2040,C2040,
USB1,usb_c_production,1,HRO-TYPE-C-31-M-12,C165948,
Y1,resonator_3_pin_production,1,Resonator,C341520,
