Designator,Mid X,Mid Y,Rotation,Layer
C1,53.950016,-70.180016,315,bottom
C10,52.740016,-71.560016,270,bottom
C11,56.760016,-68.480016,270,bottom
C12,54.350016,-69.410016,315,bottom
C13,55.130016,-68.490016,270,bottom
C14,55.330016,-80.690016,90,bottom
C15,57.950016,-68.930016,225,bottom
C2,62.130016,-72.190016,180,bottom
C3,63.410016,-77.110016,180,bottom
C4,55.210016,-29.760016,0,bottom
C5,55.830016,-28.890016,180,bottom
C6,59.640016,-67.090016,180,bottom
C7,55.364109,-23.400016,270,bottom
C8,56.160016,-80.690016,90,bottom
C9,50.480016,-76.310016,0,bottom
D1,52.557857,-21.006268,90,bottom
D10,20.240642,-52.387544,270,bottom
D11,28.575024,-47.62504,0,bottom
D12,47.62504,-47.62504,0,bottom
D13,20.240642,-61.912552,270,bottom
D14,20.240642,-71.43756,270,bottom
D15,28.575024,-66.675056,0,bottom
D16,47.62504,-66.675056,0,bottom
D17,20.240642,-80.962568,270,bottom
D18,20.240642,-90.487576,270,bottom
D19,23.81252,-94.059454,0,bottom
D2,42.862536,-20.240642,180,bottom
D20,28.575024,-85.725072,0,bottom
D21,33.337528,-94.059454,0,bottom
D22,42.862536,-94.059454,0,bottom
D23,47.62504,-85.725072,0,bottom
D24,52.387544,-94.059454,0,bottom
D25,61.912552,-94.059454,0,bottom
D26,66.675056,-85.725072,0,bottom
D27,71.43756,-94.059454,0,bottom
D28,80.792255,-94.059454,0,bottom
D29,85.725072,-85.725072,0,bottom
D3,33.337528,-20.240642,180,bottom
D30,90.487576,-94.059454,0,bottom
D31,94.059454,-90.487576,90,bottom
D32,94.059454,-80.962568,90,bottom
D33,94.059454,-71.43756,90,bottom
D34,85.725072,-66.675056,0,bottom
D35,66.675056,-66.675056,0,bottom
D36,94.059454,-61.912552,90,bottom
D37,94.059454,-52.387544,90,bottom
D38,85.725072,-47.62504,0,bottom
D39,66.675056,-47.62504,0,bottom
D4,23.81252,-20.240642,180,bottom
D40,94.059454,-42.862536,90,bottom
D41,94.059454,-33.337528,90,bottom
D42,85.725072,-28.575024,0,bottom
D43,66.675056,-28.575024,0,bottom
D44,94.059454,-23.81252,90,bottom
D45,90.317263,-20.240642,180,bottom
D46,80.962568,-20.240642,180,bottom
D47,71.43756,-20.240642,180,bottom
D48,61.912552,-20.835955,180,bottom
D5,20.240642,-23.81252,270,bottom
D6,20.240642,-33.337528,270,bottom
D7,28.575024,-28.575024,0,bottom
D8,47.62504,-28.575024,0,bottom
D9,20.240642,-42.862536,270,bottom
F1,54.840016,-21.310016,180,bottom
K1,28.575024,-28.575024,0,bottom
K10,47.62504,-66.675056,0,bottom
K11,66.675056,-66.675056,0,bottom
K12,85.725072,-66.675056,0,bottom
K13,28.575024,-85.725072,0,bottom
K14,47.62504,-85.725072,0,bottom
K15,66.675056,-85.725072,0,bottom
K16,85.725072,-85.725072,0,bottom
K2,47.62504,-28.575024,0,bottom
K3,66.675056,-28.575024,0,bottom
K4,85.725072,-28.575024,0,bottom
K5,28.575024,-47.62504,0,bottom
K6,47.62504,-47.62504,0,bottom
K7,66.675056,-47.62504,0,bottom
K8,85.725072,-47.62504,0,bottom
K9,28.575024,-66.675056,0,bottom
R1,56.370016,-66.740016,270,bottom
R2,55.530016,-66.740016,270,bottom
R3,63.310016,-66.950016,90,bottom
R4,58.230016,-21.650016,90,bottom
R5,59.080016,-21.650016,90,bottom
SW1,57.150048,-57.150048,180,bottom
U1,55.340016,-26.657516,270,bottom
U2,57.150048,-23.495329,0,bottom
U3,61.040016,-68.770016,180,bottom
U4,57.149984,-75.009344,180,bottom
USB1,57.150048,-11.910951,0,bottom
Y1,56.160016,-83.580016,270,bottom
